review,place_rating,ID,title,place,rating,region,raw,감성점수,newrating,placecount,plusalpha
튀기다 유부 김밥 색다르다 맛있다 기억 남다 이다 전화 예약 후방 문해 지다 예약 없이 가면 한정 없이 기다리다 먹다 하다 있다,4,seongeuny5,전화예약을 하고 방문하세요.,오는정김밥,50,3,튀긴유부 김밥이 색다르고 맛있어서 기억에 남는 곳입니다. 꼭 전화예약 후 방문해야지 예약 없이 가면 한정없이 기다릴 수도 먹지 못할 수 도 있습니다.,0,5,38,7.95 
워낙 메스 이나 여행객 사이 에서 유명하다 고해 우연히 들리다 인데 전날 전화 식해 사기 힘들다 하다 혹시 아침 에가 늘다 구매 바로 가능하다 있다 추천,4,MIJINJ25,유명한곳,오는정김밥,50,3,"워낙 메스컴이나 여행객들사이에서 유명하다고해서
우연히 들린곳인데
전날전화를 100통식해도 사기힘들다고해서
혹시나아침 10시에 가봣는데 구매바로가능하네요
맛도있고추천해요",-0.17,4.92,38,7.95 
서귀포 가시 꼭꼭 추천 전화 예약 이나 직접 방문 포장 가능하다 항상 통화 이라 연결 되다 힘들다 그래도 전해 맛보다 김밥 이라고 울다 보시 안되다 저녁 도배 불리 먹다 상태 이나 보다 만포 장하다 얼마나 후회 하다 아무리 배부르다 먹다 지라 생각 함께 젓가락 놓다 자신 발견 되다,4,GrandTour43571739898,인생 김밥,오는정김밥,50,3,"서귀포 가시면 꼭꼭 추천요~~ 전화 예약이나 직접 방문 후 포장만 가능한데 항상 통화중이라 연결되기 힘들지만 그래도 꼭 도전해서 맛보시길. 김밥이라고 우습게 보시면 안됩니다.
저는 저녁도 배불리 먹은 상태라 맛이나 보자고 2줄만 포장했다가 얼마나 후회했는지... 아무리 배불러도 한 입 먹으면 '어 이거 뭐지??""라는 생각과 함께 젓가락을 놓지 못하는 자신을 발견하게됩니다.",-0.24,4.88,38,7.95 
정말 서귀포 여행 거나 지나가다 무조건 들다 정류 다양하다 는가 기본 오다 김밥 맛있다 그리고 예약 하다 전화 연결 잘알다 되다 침착하다 고이왕 구매 하다 왕창 사다 요인 그냥 소화 가능하다,4,ckb8082,제주 있는 동안 계속 드세요,오는정김밥,40,3,"정말 서귀포쪽 여행 중이거나 지나가시면 무조건 드세요
정류가 다양하지만 저는 가장 기본인 오는정김밥이 젤 맛있었어요. 그리고 예약 할때 전화연결 잘 안되니 침착하게 하시고 이왕 구매할 때 왕창 사세요
인당 2~3줄 그냥 소화 가능 합니다",0.71,4.36,38,7.95 
유부 튀김 조각 들어가다 김밥 이다 늘다 김밥 참치 김밥 먹다 보다 그냥 일반 김밥 맛있다 괜히 예약 고전 걸다 그렇다 그렇다 말고 주변 지나가다 잠깐 들다 예약 하고 늦다 시간 찾아가다 전화 많이 하다 가보 니까 통화 하다 받다 아니다 그냥 받다 엄청 맛있다 글쎄요 경험 삼다 먹다 볼수 있다 시간 기다리다 먹다 음식 절대 아니다 는시 방문 하다 예약 고시 숙소 들어가다 찾다 야식 으로 먹다,4,hanjjang_gogo,제주도 김밥하면 나오는 이름 오는정 김밥,오는정김밥,40,3,"유부 튀김 조각이 들어가 있는 김밥입니다. 오는정김밥과 참치 김밥만 먹어 봤는데, 그냥 일반 김밥이 더 맛있어요.. 괜히 예약한다고 전화 걸고 그러는데 그러지 말고 주변 지나가면서 잠깐 들려 예약하고 늦은 시간 찾아 가세요.. 전화 많이 하는데,, 가보니까 통화 하느라 못 받는 거 아니고 그냥 안 받고 있더라고요..
엄청 맛있다?? 글쎄요.. 경험 삼아 먹어 볼 수는 있지만, 몇 시간 기다려 먹을만한 음식은 절대 아닙니다. 저는 10시에 방문해서 예약 하고 5시 숙소 들어 가기전 찾아 야식으로 먹었어요.",0.07,4.04,38,7.95 
포장 가능 평일 이라 화통 만에 연결 되다 친절하다 기본 김밥 이제일 맛있다 치즈 맛있다 사다 안산 후회 하다,4,GlobeTrotting691828,진짜 맛있어요,오는정김밥,50,3,"포장만 가능. 평일이라 전화 17통만에 연결됨
친절해요 기본 김밥이 제일 맛있고
치즈도맛있었어요
3줄샀는데 더 안산걸 후회했어요,,",0.5,5.25,38,7.95 
이상 전화하다 좋다 한번 통화 되어다 예약 가능하다 그렇게 통화 되어다 시간 이상 기다리다 야합 기본 오다 김밥 이천원 인데 사이즈 가격 오르다 조금 느끼하다 많이 먹다 이상 먹다 별미 먹기 좋다,4,kej5155,대기시간 최소 3시간.,오는정김밥,30,3,기본 20번 이상 전화하면 운좋아야 한번 통화가 되어서 예약이 가능합니다. 그렇게 통화가 되어도 3시간 이상 기다려야 합니다. 기본 오는정김밥이 3천원인데 사이즈는 줄고 가격은 올랐네요. 조금 느끼하니 많이 먹어야 2줄 이상 못먹어요. 별미로 먹기 좋습니다.,0.33,3.17,38,7.95 
전화통화 번하다 실패하다 결국 직접 서예 약하다 김밥 좋아하다 엄청 기대하다 김밥 자체 맛있다 만족하다 에서만 들다 맛있다 김밥 같다 느낌 재료 화가 좋다,4,moonlightbay,맛있는 김밥,오는정김밥,50,3,전화통화 80번 했는데 실패해서 결국 직접 가서 예약했어요. 김밥 좋아해서 엄청 기대했는데 김밥 자체가 맛있어서 만족했어요. 집에서 만든 맛있는 김밥 같은 느낌. 부재료 조화가 좋아요!,1,5.5,38,7.95 
평일 이라 전화 번만 연결 되어다 김밥 참치 김밥 멸치 김밥 주문 하다 먹다 보다 없다 같다 으로 굳이 전화하다 힘들다 먹다 되다 하다,4,mintg6,예약필수,오는정김밥,30,3,"평일이라 전화 28번만에 연결되었다. 오는정김밥, 참치김밥, 멸치김밥 주문했는데 전에 먹었을때보다 맛이 없었다. 이날같은 맛이면 앞으로 굳이 전화해서 힘들게 안 먹어도 될듯하다",-0.44,2.78,38,7.95 
예약 하다 않다 먹다 없다 번거롭다 에도 불구 하고 일년 두다 번은 먹다 김밥 무난 하고 깔끔하다 아니다 기름 진맛 기본 자체 기름 튀기다 유부 넣다 만들다 자체 기름 지다 김밥 먹기 보단 따뜻하다 미소 된장 먹다 선호 이상은 느끼하다 그렇다 기억나다 김밥 이다,4,aelley,묘하게 생각나는,오는정김밥,30,3,"예약을 하지 않으면 먹을 수 없는 번거로움에도 불구하고 일년에 두세번은 먹는 김밥.
무난하고 깔끔한 맛은 아닌 기름진 맛.
기본 밥 자체가 기름에 튀긴듯한 유부를 넣고 만들어 밥 자체가 기름져 김밥만 먹기보단 따뜻한 미소된장과 먹는 것을 나는 선호한다.
두줄이상은 느끼하지만 그럼에도 기억나는 김밥이다.",-0.29,2.86,38,7.95 
